gene_name,family,species_label,container,n_samples,mean_rel_exp,median_rel_exp,max_rel_exp
SLCO2B1,SLCO,Human,Lung,69,0.10690602767222508,0.09187734997387906,0.40303661301796706
SLCO2B1,SLCO,Human,LymphNode,104,0.07651588495868614,0.05838749727586426,0.38883264916617516
SLCO2B1,SLCO,Human,Muscle,398,0.003645121272596547,0.002258471398162716,0.1660820043075793
SLCO2B1,SLCO,Human,Myometrium,58,0.045585418591282754,0.040645637952616984,0.17444043870171072
SLCO2B1,SLCO,Human,Pancreas,144,0.018087056992718117,0.016524853572386054,0.15114558460751198
SLCO2B1,SLCO,Human,Pericentral,134,0.07527649495968947,0.05506493573163538,1
SLCO2B1,SLCO,Human,Periportal,134,0.07527649495968947,0.05506493573163538,1
SLCO2B1,SLCO,Human,Placenta,10,0.09946521780073125,0.10332080288045989,0.14355124416231144
SLCO2B1,SLCO,Human,Plasma,315,0.02422543983918221,0.01670976017787108,0.16636577280277218
SLCO2B1,SLCO,Human,Rectum,39,0.053967396630690945,0.04269338973752259,0.1772103719318286
SLCO2B1,SLCO,Human,SalivaryGland,53,0.020174161742644765,0.01844179640778225,0.054219439460482556
SLCO2B1,SLCO,Human,Skin,443,0.012040762873408618,0.009065670808525274,0.06912163872004161
SLCO2B1,SLCO,Human,SmallIntestine,29,0.052223571192467594,0.04883172516729156,0.13552363002359422
SLCO2B1,SLCO,Human,Spleen,88,0.11842589735147292,0.11458603964688244,0.26658331274726776
SLCO2B1,SLCO,Human,Stomach,149,0.015807634078332047,0.00937254395078183,0.17711187116615798
SLCO2B1,SLCO,Human,Thyroid,203,0.026245603966657254,0.023326824988111363,0.10445518641764623
SLCO2B1,SLCO,Human,Undefined,319,0.03719597972331911,0.03389423901190267,0.172928148909451
SLCO2B1,SLCO,Human,UpperIleum,25,0.05071128345508102,0.029247155507700195,0.13552363002359422
SLCO2B1,SLCO,Human,UpperJejunum,25,0.05071128345508102,0.029247155507700195,0.13552363002359422
SLCO2B1,SLCO,Macaque,Brain,633,0.07594677943565006,0.05794622914218371,0.45724734618583324
SLCO2B1,SLCO,Macaque,Caecum,3,0.09269456134018861,0.06381322648581457,0.1680718583338287
SLCO2B1,SLCO,Macaque,ColonAscendens,3,0.09269456134018861,0.06381322648581457,0.1680718583338287
SLCO2B1,SLCO,Macaque,ColonDescendens,3,0.09269456134018861,0.06381322648581457,0.1680718583338287
SLCO2B1,SLCO,Macaque,ColonSigmoid,3,0.09269456134018861,0.06381322648581457,0.1680718583338287
SLCO2B1,SLCO,Macaque,ColonTransversum,3,0.09269456134018861,0.06381322648581457,0.1680718583338287
SLCO2B1,SLCO,Macaque,Eye,1,0.011022210331064123,0.011022210331064123,0.011022210331064123
SLCO2B1,SLCO,Macaque,Fat,1,0.007371279250762231,0.007371279250762231,0.007371279250762231
SLCO2B1,SLCO,Macaque,Gonads,47,0.041915256206100676,0.0350835248297696,0.12539131109255797
SLCO2B1,SLCO,Macaque,Heart,46,0.016211524148693902,0.013994188382686356,0.051318431118443066
SLCO2B1,SLCO,Macaque,Kidney,58,0.020278417264993846,0.01833339009531768,0.05472051597404901
SLCO2B1,SLCO,Macaque,LargeIntestine,3,0.09269456134018861,0.06381322648581457,0.1680718583338287
SLCO2B1,SLCO,Macaque,LowerIleum,1,0.0028109724541418644,0.0028109724541418644,0.0028109724541418644
SLCO2B1,SLCO,Macaque,Lung,11,0.2295880502206304,0.25680954894860825,0.426737073237834
SLCO2B1,SLCO,Macaque,Muscle,17,0.022673580439999043,0.011515263093512364,0.15039420165629547
SLCO2B1,SLCO,Macaque,Pericentral,83,0.011320297470842237,0.008176495607365481,0.03554960359593433
SLCO2B1,SLCO,Macaque,Periportal,83,0.011320297470842237,0.008176495607365481,0.03554960359593433
SLCO2B1,SLCO,Macaque,Rectum,3,0.09269456134018861,0.06381322648581457,0.1680718583338287
SLCO2B1,SLCO,Macaque,SmallIntestine,1,0.0028109724541418644,0.0028109724541418644,0.0028109724541418644
SLCO2B1,SLCO,Macaque,Spleen,7,0.3416135957586167,0.135630859140544,1
